dataset,method,group,coverage_mean,coverage_sd,mean_width
meps_expenditure,Parametric-TI,4,0.847701149425287,0.0191192406938911,29601.7612700285
meps_expenditure,Parametric-TI,5,0.85,0.0191631367744814,16096.5748404687
meps_utilization,SR-TI,1,0.896743295019157,0.0143109042905476,6.458576996604
meps_utilization,SR-TI,2,0.918917624521073,0.00788199282924181,9.87222615257269
meps_utilization,SR-TI,3,0.922413793103448,0.00836193874434979,13.9275633872223
meps_utilization,SR-TI,4,0.925335249042146,0.00928921257197965,21.5053905211947
meps_utilization,SR-TI,5,0.935584291187739,0.0103345297269046,104.221061660855
meps_utilization,ASR-TI,1,0.894300766283525,0.0154895047854544,6.82628792003925
meps_utilization,ASR-TI,2,0.917385057471264,0.00873407431547445,10.5420087991666
meps_utilization,ASR-TI,3,0.922509578544062,0.0100887509438006,14.9685806205272
meps_utilization,ASR-TI,4,0.926915708812261,0.00966436647940949,23.3042068832023
meps_utilization,ASR-TI,5,0.937116858237548,0.0115038064417715,116.673193379148
meps_utilization,CQR-TI,1,0.951197318007663,0.0077472849556012,9.4255247530712
meps_utilization,CQR-TI,2,0.942385057471264,0.00577457818232378,11.7791416308262
meps_utilization,CQR-TI,3,0.936446360153257,0.00645379016093666,14.9387210285714
meps_utilization,CQR-TI,4,0.92389846743295,0.00955570477317296,20.7503894989917
meps_utilization,CQR-TI,5,0.909530651340996,0.0143441863900401,73.0034966111531
meps_utilization,Parametric-TI,1,0.966044061302682,0.00731116698463721,11.2112977966135
meps_utilization,Parametric-TI,2,0.953544061302682,0.00633465858191088,13.2024925765789
meps_utilization,Parametric-TI,3,0.938505747126437,0.00641871546439491,15.7243817741618
meps_utilization,Parametric-TI,4,0.914319923371648,0.0103466712449708,19.8744016298994
meps_utilization,Parametric-TI,5,0.837835249042146,0.0114230333748273,46.471672466439
