dataset,repetition,method,group,n,ks_to_marginal
superconductivity,6,SR-TI,1,1418,0.130734539556607
superconductivity,6,SR-TI,2,1418,0.0372458691140508
superconductivity,6,SR-TI,3,1418,0.0752440112126676
superconductivity,6,SR-TI,4,1418,0.0310780662784135
superconductivity,6,SR-TI,5,1417,0.0339931467172147
superconductivity,6,ASR-TI,1,1418,0.128759350438839
superconductivity,6,ASR-TI,2,1418,0.0375287921989629
superconductivity,6,ASR-TI,3,1418,0.0745394889597324
superconductivity,6,ASR-TI,4,1418,0.0348876793363285
superconductivity,6,ASR-TI,5,1417,0.0330060995829515
superconductivity,6,CQR-TI,1,1418,0.39301179980267
superconductivity,6,CQR-TI,2,1418,0.159273560161246
superconductivity,6,CQR-TI,3,1418,0.0866206230236917
superconductivity,6,CQR-TI,4,1418,0.243810062710638
superconductivity,6,CQR-TI,5,1417,0.260576162756955
superconductivity,7,SR-TI,1,1418,0.081935281443807
superconductivity,7,SR-TI,2,1418,0.0753579166037451
superconductivity,7,SR-TI,3,1418,0.0642058327120765
superconductivity,7,SR-TI,4,1418,0.0487208673283725
superconductivity,7,SR-TI,5,1417,0.0539060137999443
superconductivity,7,ASR-TI,1,1418,0.0796779650866546
superconductivity,7,ASR-TI,2,1418,0.0729604319531183
superconductivity,7,ASR-TI,3,1418,0.0639218153395644
superconductivity,7,ASR-TI,4,1418,0.0456167713303015
superconductivity,7,ASR-TI,5,1417,0.0511465625125371
superconductivity,7,CQR-TI,1,1418,0.386243233074703
superconductivity,7,CQR-TI,2,1418,0.197652414863927
superconductivity,7,CQR-TI,3,1418,0.10246749916088
superconductivity,7,CQR-TI,4,1418,0.197830485300634
superconductivity,7,CQR-TI,5,1417,0.295635599121682
superconductivity,8,SR-TI,1,1418,0.0844769136155441
superconductivity,8,SR-TI,2,1418,0.0883412410534528
superconductivity,8,SR-TI,3,1418,0.0400053639988532
superconductivity,8,SR-TI,4,1418,0.0289329641405933
superconductivity,8,SR-TI,5,1417,0.0665889970575741
superconductivity,8,ASR-TI,1,1418,0.0769994474842427
superconductivity,8,ASR-TI,2,1418,0.0800252521785774
superconductivity,8,ASR-TI,3,1418,0.0419761759662212
superconductivity,8,ASR-TI,4,1418,0.0337625527222791
superconductivity,8,ASR-TI,5,1417,0.0609273384978347
superconductivity,8,CQR-TI,1,1418,0.346324914680385
superconductivity,8,CQR-TI,2,1418,0.224590393229265
superconductivity,8,CQR-TI,3,1418,0.0846968654231182
superconductivity,8,CQR-TI,4,1418,0.215603705536359
superconductivity,8,CQR-TI,5,1417,0.276124220802693
superconductivity,9,SR-TI,1,1418,0.139621149674469
superconductivity,9,SR-TI,2,1418,0.0881948054764519
superconductivity,9,SR-TI,3,1418,0.0469862225211949
superconductivity,9,SR-TI,4,1418,0.0362069922590095
superconductivity,9,SR-TI,5,1417,0.039997658562925
superconductivity,9,ASR-TI,1,1418,0.139339519838539
superconductivity,9,ASR-TI,2,1418,0.0883387540361804
superconductivity,9,ASR-TI,3,1418,0.0452929616814306
superconductivity,9,ASR-TI,4,1418,0.0365081203103559
superconductivity,9,ASR-TI,5,1417,0.0422264040235286
superconductivity,9,CQR-TI,1,1418,0.378204397404668
superconductivity,9,CQR-TI,2,1418,0.225714624517096
superconductivity,9,CQR-TI,3,1418,0.12151377379802
superconductivity,9,CQR-TI,4,1418,0.245354003033365
superconductivity,9,CQR-TI,5,1417,0.2268531971716
superconductivity,10,SR-TI,1,1418,0.176673628325416
superconductivity,10,SR-TI,2,1418,0.0652133731494851
superconductivity,10,SR-TI,3,1418,0.0396680249760202
superconductivity,10,SR-TI,4,1418,0.0621290738089028
superconductivity,10,SR-TI,5,1417,0.0505781268961335
superconductivity,10,ASR-TI,1,1418,0.174134682132333
superconductivity,10,ASR-TI,2,1418,0.065216457050903
superconductivity,10,ASR-TI,3,1418,0.0393862956593988
superconductivity,10,ASR-TI,4,1418,0.0619896018802646
superconductivity,10,ASR-TI,5,1417,0.0503214846861354
superconductivity,10,CQR-TI,1,1418,0.387794534968557
superconductivity,10,CQR-TI,2,1418,0.21583440125855
superconductivity,10,CQR-TI,3,1418,0.112769719510213
superconductivity,10,CQR-TI,4,1418,0.211926501278028
superconductivity,10,CQR-TI,5,1417,0.253948960056497
superconductivity,11,SR-TI,1,1418,0.122128464987074
superconductivity,11,SR-TI,2,1418,0.072004919917049
superconductivity,11,SR-TI,3,1418,0.0532506211076936
superconductivity,11,SR-TI,4,1418,0.0270879952472105
superconductivity,11,SR-TI,5,1417,0.0401776465829703
superconductivity,11,ASR-TI,1,1418,0.117335485299639
superconductivity,11,ASR-TI,2,1418,0.0814553865909181
superconductivity,11,ASR-TI,3,1418,0.0519559793963552
superconductivity,11,ASR-TI,4,1418,0.035473720086405
superconductivity,11,ASR-TI,5,1417,0.0434424182186901
superconductivity,11,CQR-TI,1,1418,0.372561056771442
superconductivity,11,CQR-TI,2,1418,0.195110882172881
superconductivity,11,CQR-TI,3,1418,0.0930148439118116
superconductivity,11,CQR-TI,4,1418,0.200784166494068
superconductivity,11,CQR-TI,5,1417,0.28808277218982
superconductivity,12,SR-TI,1,1418,0.0962826851270995
superconductivity,12,SR-TI,2,1418,0.0690323373923445
superconductivity,12,SR-TI,3,1418,0.0588713796240863
superconductivity,12,SR-TI,4,1418,0.0223913128685636
superconductivity,12,SR-TI,5,1417,0.0417705604705492
superconductivity,12,ASR-TI,1,1418,0.0957567307143251
superconductivity,12,ASR-TI,2,1418,0.0701516941263218
superconductivity,12,ASR-TI,3,1418,0.0585886555005559
superconductivity,12,ASR-TI,4,1418,0.0221097825133239
superconductivity,12,ASR-TI,5,1417,0.0445870544213887
superconductivity,12,CQR-TI,1,1418,0.39696168063475
superconductivity,12,CQR-TI,2,1418,0.205257116798887
superconductivity,12,CQR-TI,3,1418,0.0924567572358773
superconductivity,12,CQR-TI,4,1418,0.228573799054177
superconductivity,12,CQR-TI,5,1417,0.26441912599689
superconductivity,13,SR-TI,1,1418,0.184469830590352
superconductivity,13,SR-TI,2,1418,0.0622427802385985
superconductivity,13,SR-TI,3,1418,0.0887643324318392
superconductivity,13,SR-TI,4,1418,0.0402035295351207
superconductivity,13,SR-TI,5,1417,0.0573997524965623
superconductivity,13,ASR-TI,1,1418,0.184753947443555
