dataset,repetition,method,group_type,group,n,coverage,mean_width,lower_miss,upper_miss
cps_wage,6,CQR-TI,predicted_scale_quintile,3,1948,0.90605749486653,30.8756343692451,0.0467145790554415,0.0472279260780288
cps_wage,6,CQR-TI,predicted_scale_quintile,4,1948,0.915297741273101,37.5264375719542,0.0364476386036961,0.0482546201232033
cps_wage,6,CQR-TI,predicted_scale_quintile,5,1947,0.919363122752953,53.5620570984701,0.0338983050847458,0.046738572162301
cps_wage,6,Parametric-TI,predicted_scale_quintile,1,1948,0.952258726899384,31.0502559581141,0.0246406570841889,0.0231006160164271
cps_wage,6,Parametric-TI,predicted_scale_quintile,2,1948,0.944045174537988,35.7559060567735,0.0308008213552361,0.0251540041067762
cps_wage,6,Parametric-TI,predicted_scale_quintile,3,1948,0.944045174537988,37.3480384517051,0.0277207392197125,0.0282340862422998
cps_wage,6,Parametric-TI,predicted_scale_quintile,4,1948,0.937371663244353,42.7967872149159,0.0282340862422998,0.034394250513347
cps_wage,6,Parametric-TI,predicted_scale_quintile,5,1947,0.921931176168464,53.955592454082,0.0318438623523369,0.0462249614791988
cps_wage,7,SR-TI,predicted_scale_quintile,1,1948,0.89476386036961,22.1676600358047,0.0569815195071869,0.0482546201232033
cps_wage,7,SR-TI,predicted_scale_quintile,2,1948,0.891683778234086,26.6849422108258,0.0585215605749487,0.0497946611909651
cps_wage,7,SR-TI,predicted_scale_quintile,3,1948,0.901950718685832,34.8340262268156,0.0503080082135524,0.047741273100616
cps_wage,7,SR-TI,predicted_scale_quintile,4,1948,0.933778234086242,39.1227811040707,0.0328542094455852,0.0333675564681725
cps_wage,7,SR-TI,predicted_scale_quintile,5,1947,0.94658448895737,61.6427921304866,0.0251669234720082,0.0282485875706215
cps_wage,7,ASR-TI,predicted_scale_quintile,1,1948,0.895277207392197,22.5945757876534,0.0595482546201232,0.0451745379876797
cps_wage,7,ASR-TI,predicted_scale_quintile,2,1948,0.890143737166324,27.2342079013532,0.0621149897330596,0.047741273100616
cps_wage,7,ASR-TI,predicted_scale_quintile,3,1948,0.902977412731006,35.5920797180119,0.0523613963039014,0.0446611909650924
cps_wage,7,ASR-TI,predicted_scale_quintile,4,1948,0.936344969199179,40.0595783668887,0.0328542094455852,0.0308008213552361
cps_wage,7,ASR-TI,predicted_scale_quintile,5,1947,0.94658448895737,63.4641608325384,0.0277349768875193,0.0256805341551104
cps_wage,7,CQR-TI,predicted_scale_quintile,1,1948,0.916324435318275,27.5473528190599,0.0523613963039014,0.0313141683778234
cps_wage,7,CQR-TI,predicted_scale_quintile,2,1948,0.90041067761807,29.4747720787539,0.0564681724845996,0.0431211498973306
cps_wage,7,CQR-TI,predicted_scale_quintile,3,1948,0.910164271047228,37.5855934360125,0.0508213552361396,0.0390143737166324
cps_wage,7,CQR-TI,predicted_scale_quintile,4,1948,0.923511293634497,39.3396923389547,0.0410677618069815,0.0354209445585216
cps_wage,7,CQR-TI,predicted_scale_quintile,5,1947,0.913713405238829,50.0187136434756,0.0390344119157679,0.0472521828454032
cps_wage,7,Parametric-TI,predicted_scale_quintile,1,1948,0.956365503080082,30.9924044293608,0.0261806981519507,0.0174537987679671
cps_wage,7,Parametric-TI,predicted_scale_quintile,2,1948,0.935831622176591,34.086794474575,0.0379876796714579,0.0261806981519507
cps_wage,7,Parametric-TI,predicted_scale_quintile,3,1948,0.93429158110883,41.3048739635231,0.0369609856262834,0.0287474332648871
cps_wage,7,Parametric-TI,predicted_scale_quintile,4,1948,0.938398357289528,40.7633171020545,0.0302874743326489,0.0313141683778234
cps_wage,7,Parametric-TI,predicted_scale_quintile,5,1947,0.910631741140216,48.2676580996438,0.0405752439650745,0.0487930148947098
cps_wage,8,SR-TI,predicted_scale_quintile,1,1948,0.854722792607803,22.5984418829845,0.0811088295687885,0.0641683778234086
cps_wage,8,SR-TI,predicted_scale_quintile,2,1948,0.908624229979466,29.0434549409908,0.0456878850102669,0.0456878850102669
cps_wage,8,SR-TI,predicted_scale_quintile,3,1948,0.914784394250513,33.2366908583035,0.0492813141683778,0.0359342915811088
cps_wage,8,SR-TI,predicted_scale_quintile,4,1948,0.93429158110883,39.5493135628763,0.0349075975359343,0.0308008213552361
cps_wage,8,SR-TI,predicted_scale_quintile,5,1947,0.944530046224962,66.5672405547185,0.0277349768875193,0.0277349768875193
cps_wage,8,ASR-TI,predicted_scale_quintile,1,1948,0.85523613963039,22.7266494690539,0.082135523613963,0.0626283367556468
cps_wage,8,ASR-TI,predicted_scale_quintile,2,1948,0.909650924024641,29.2305034418466,0.047741273100616,0.0426078028747433
cps_wage,8,ASR-TI,predicted_scale_quintile,3,1948,0.913757700205339,33.4666925360677,0.0508213552361396,0.0354209445585216
cps_wage,8,ASR-TI,predicted_scale_quintile,4,1948,0.93429158110883,39.8533923213715,0.0364476386036961,0.0292607802874743
cps_wage,8,ASR-TI,predicted_scale_quintile,5,1947,0.944530046224962,67.260670571258,0.0287621982537237,0.0267077555213148
cps_wage,8,CQR-TI,predicted_scale_quintile,1,1948,0.899897330595483,28.2054043289632,0.061088295687885,0.0390143737166324
cps_wage,8,CQR-TI,predicted_scale_quintile,2,1948,0.920431211498973,31.4905951638012,0.0431211498973306,0.0364476386036961
cps_wage,8,CQR-TI,predicted_scale_quintile,3,1948,0.907597535934292,34.877214155791,0.0564681724845996,0.0359342915811088
cps_wage,8,CQR-TI,predicted_scale_quintile,4,1948,0.92299794661191,38.2835246668585,0.0415811088295688,0.0354209445585216
cps_wage,8,CQR-TI,predicted_scale_quintile,5,1947,0.919876733436056,54.3368260816156,0.0410888546481767,0.0390344119157679
cps_wage,8,Parametric-TI,predicted_scale_quintile,1,1948,0.932238193018481,31.476346167009,0.0405544147843943,0.0272073921971253
cps_wage,8,Parametric-TI,predicted_scale_quintile,2,1948,0.942505133470226,35.562545913426,0.0313141683778234,0.0261806981519507
cps_wage,8,Parametric-TI,predicted_scale_quintile,3,1948,0.935831622176591,37.8536406879162,0.0395277207392197,0.0246406570841889
cps_wage,8,Parametric-TI,predicted_scale_quintile,4,1948,0.934804928131417,40.3176797700123,0.0338809034907598,0.0313141683778234
cps_wage,8,Parametric-TI,predicted_scale_quintile,5,1947,0.91165896250642,48.4033534702175,0.0431432973805855,0.0451977401129944
cps_wage,9,SR-TI,predicted_scale_quintile,1,1948,0.876283367556468,24.8594905114243,0.0682751540041068,0.0554414784394251
cps_wage,9,SR-TI,predicted_scale_quintile,2,1948,0.91170431211499,28.7792971872058,0.047741273100616,0.0405544147843943
cps_wage,9,SR-TI,predicted_scale_quintile,3,1948,0.920431211498973,32.8512909483312,0.0441478439425051,0.0354209445585216
cps_wage,9,SR-TI,predicted_scale_quintile,4,1948,0.931724845995893,40.6492010685762,0.0287474332648871,0.0395277207392197
cps_wage,9,SR-TI,predicted_scale_quintile,5,1947,0.942989214175655,57.0849999437673,0.024653312788906,0.0323574730354391
cps_wage,9,ASR-TI,predicted_scale_quintile,1,1948,0.87782340862423,24.8249322376871,0.0662217659137577,0.0559548254620123
cps_wage,9,ASR-TI,predicted_scale_quintile,2,1948,0.912217659137577,28.7305545094315,0.0472279260780288,0.0405544147843943
cps_wage,9,ASR-TI,predicted_scale_quintile,3,1948,0.921457905544148,32.7886226507149,0.0431211498973306,0.0354209445585216
cps_wage,9,ASR-TI,predicted_scale_quintile,4,1948,0.931211498973306,40.5591100132127,0.0287474332648871,0.040041067761807
cps_wage,9,ASR-TI,predicted_scale_quintile,5,1947,0.943502824858757,56.9251586643275,0.0241397021058038,0.0323574730354391
cps_wage,9,CQR-TI,predicted_scale_quintile,1,1948,0.911190965092402,29.6012022701848,0.0472279260780288,0.0415811088295688
cps_wage,9,CQR-TI,predicted_scale_quintile,2,1948,0.921971252566735,30.7034518311914,0.040041067761807,0.0379876796714579
cps_wage,9,CQR-TI,predicted_scale_quintile,3,1948,0.929158110882957,33.2889699288921,0.0364476386036961,0.034394250513347
cps_wage,9,CQR-TI,predicted_scale_quintile,4,1948,0.919917864476386,38.0766349183339,0.0354209445585216,0.0446611909650924
cps_wage,9,CQR-TI,predicted_scale_quintile,5,1947,0.903441191576785,46.3826142875091,0.0426296866974833,0.0539291217257319
cps_wage,9,Parametric-TI,predicted_scale_quintile,1,1948,0.952258726899384,37.9632197436711,0.026694045174538,0.021047227926078
cps_wage,9,Parametric-TI,predicted_scale_quintile,2,1948,0.955338809034908,38.9542711906686,0.0256673511293634,0.018993839835729
cps_wage,9,Parametric-TI,predicted_scale_quintile,3,1948,0.950205338809035,41.0242265386358,0.0261806981519507,0.0236139630390144
cps_wage,9,Parametric-TI,predicted_scale_quintile,4,1948,0.947638603696099,45.3861775164699,0.0251540041067762,0.0272073921971253
cps_wage,9,Parametric-TI,predicted_scale_quintile,5,1947,0.929635336414997,52.1435849050549,0.0318438623523369,0.0385208012326656
